variable,vif
infl_gt_lag1,2.2419224084498097
d_tasa_pol,1.711423191429508
exp24_lag1,1.2528775402264922
imae_lag2,1.2140574655096705
tcdep_var,1.1212696237667648
deficit_fiscal,1.0414703495964324
d_effr,1.9384369212414871
d_infl_us,1.5621570611100084
oil_var,1.7133515738708567
