fecha,codigo_modelo,descripcion,c0_t,c_t,d_t,lambda_t,lambda_se,lambda_li_95,lambda_ls_95,pi_estrella_t,pi_estrella_se,pi_estrella_li_95,pi_estrella_ls_95,expectativa,inflacion,meta_inflacion
2011-02-01,S0,M3 base AR(1),0.3191892371739977,0.030135756437907005,0.8967556276465373,0.7081123575943142,0.07570091810163866,0.5597412845184863,0.8564834306701422,4.365959239916099,0.1874661478262064,3.9985323418562726,4.733386137975925,5.81,5.24,5
2011-03-01,S0,M3 base AR(1),0.3191892371739978,0.030135756437907012,0.8967556276465373,0.7081123575943141,0.07570091809647643,0.5597412845286039,0.8564834306600243,4.3659592399161005,0.18746614798585884,3.998532341543361,4.733386138288839,6.13,4.99,5
2011-04-01,S0,M3 base AR(1),0.3191892371740268,0.030135756438026136,0.8967556276464338,0.7081123575934529,0.07570091824347071,0.5597412842396392,0.8564834309472666,4.365959239917432,0.18746614751222704,3.998532342472994,4.73338613736187,6.19,5.76114812916453,5
2011-05-01,S0,M3 base AR(1),0.3191892371722595,0.030135756438065497,0.8967556276466979,0.7081123575923249,0.07570092960536313,0.5597412619696113,0.8564834532150386,4.3659592399113825,0.18746615063394673,3.9985323363484864,4.733386143474279,5.74,6.3930220625962,5
2011-06-01,S0,M3 base AR(1),0.3191892371722287,0.03013575643810084,0.8967556276466766,0.7081123575920428,0.07570092874166442,0.5597412636621475,0.8564834515219382,4.365959239911799,0.18746617312218422,3.9985322922727673,4.73338618755083,6.16,6.42229936695938,5
2011-07-01,S0,M3 base AR(1),0.3191892371720841,0.03013575643809733,0.8967556276466979,0.7081123575920165,0.07570092901615118,0.5597412631241371,0.856483452059896,4.365959239910883,0.18746617513030508,3.998532288336007,4.73338619148576,5.88,7.03967446592064,5
2011-08-01,S0,M3 base AR(1),0.31918923717242764,0.030135756438091944,0.8967556276466517,0.7081123575921993,0.07570092901761248,0.5597412631214558,0.8564834520629427,4.3659592399125025,0.18746617484966097,3.9985322888876786,4.733386190937327,5.95,7.6258261311642,5
2011-09-01,S0,M3 base AR(1),0.3191892371723836,0.030135756438090914,0.8967556276466553,0.7081123575921993,0.0757009290195277,0.559741263117702,0.8564834520666965,4.365959239912051,0.1874661746629713,3.9985322892531325,4.73338619057097,6.43,7.24931562404949,5
2011-10-01,S0,M3 base AR(1),0.31918923717233993,0.030135756438091583,0.8967556276466624,0.7081123575921726,0.07570092908896973,0.5597412629815715,0.8564834522027738,4.365959239911918,0.18746617617283862,3.9985322862937136,4.733386193530123,6.51,6.65,5
2011-11-01,S0,M3 base AR(1),0.3191892371724114,0.03013575643809264,0.8967556276466446,0.7081123575922126,0.07570092907446796,0.5597412630100344,0.8564834521743908,4.3659592399118985,0.18746617578476363,3.998532287054307,4.73338619276949,6.06,6.05484387510006,5
2011-12-01,S0,M3 base AR(1),0.31918923717235104,0.030135756438090945,0.8967556276466553,0.7081123575921989,0.07570092907548656,0.5597412630080243,0.8564834521763736,4.365959239911607,0.1874661757714029,3.9985322870802023,4.733386192743012,5.62,6.2,5
2012-01-01,S0,M3 base AR(1),0.3191892371723641,0.03013575643809072,0.8967556276466517,0.7081123575922111,0.07570092907610014,0.5597412630068339,0.8564834521775884,4.365959239911561,0.18746617578093275,3.998532287061478,4.733386192761644,5.95,5.44,4.5
2012-02-01,S0,M3 base AR(1),0.31918923717234104,0.030135756438089904,0.8967556276466571,0.7081123575922039,0.07570092907641156,0.5597412630062163,0.8564834521781916,4.365959239911516,0.18746617578702385,3.9985322870494944,4.733386192773537,6.11,5.17,4.5
