codigo_modelo,intento,exito,convergencia,log_verosimilitud,mensaje
S5,1,TRUE,0,-123.64173295094979,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S5,2,TRUE,0,-123.64173295094979,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S5,3,TRUE,0,-123.64173295094979,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S5,4,TRUE,0,-123.64173295094979,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S5,5,TRUE,0,-123.64173295094979,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S5,6,TRUE,0,-123.64173295094979,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S5,7,TRUE,0,-123.64173295094979,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S5,8,TRUE,0,-123.64173295094979,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S5,9,TRUE,0,-123.64173295094979,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S5,10,TRUE,0,-123.64173295094979,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S5,11,TRUE,0,-123.64173295067538,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S5,12,TRUE,0,-156.46313358272138,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S6,1,TRUE,0,-116.5614797264104,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S6,2,TRUE,0,-116.5614797264104,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S6,3,TRUE,0,-116.5614797264104,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S6,4,TRUE,0,-116.5614797264104,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S6,5,TRUE,0,-116.5614797264104,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S6,6,TRUE,0,-116.5614797264104,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S6,7,TRUE,0,-116.5614797264104,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S6,8,TRUE,0,-116.5614797264104,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S6,9,TRUE,0,-116.5614797264104,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S6,10,TRUE,0,-116.5614797264104,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S6,11,TRUE,0,-116.56147972629556,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
S6,12,TRUE,0,-147.76833874825954,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH
