codigo_modelo,parametro,estimacion,error_estandar_aprox,limite_inferior_95,limite_superior_95,es_TVP
S0,a0,0.3704179864600141,0.30676996554838487,-0.23084009755341328,0.9716760704734415,FALSE
S0,a_inflacion_lag1,0.9603086455870714,0.028121050015870282,0.9051924003485161,1.0154248908256267,FALSE
S0,a_expectativa_lag1,-0.05098753323740683,0.08004846243891624,-0.20787963663548992,0.10590457016067627,FALSE
S0,c0,0.319189237172398,0.09672595011574456,0.12960985857512083,0.5087686157696751,TRUE
S0,c,0.030135756438088464,0.0088666935738976,0.012757356371296436,0.04751415650488049,TRUE
S0,d,0.8967556276466502,0.025239640381389036,0.8472868415163849,0.9462244137769155,FALSE
S1,a0,0.4554923130419984,0.30614404061157846,-0.14453898063826293,1.0555236067222598,FALSE
S1,a_inflacion_lag1,0.9536689926131062,0.028000958687003363,0.8987881220539857,1.0085498631722267,FALSE
S1,a_expectativa_lag1,-0.01187483079809877,0.08123749011165292,-0.17109738561136723,0.1473477240151697,FALSE
S1,a_inflacion_lag12,-0.054811135799630775,0.025124884765582983,-0.10405500505589249,-0.005567266543369059,FALSE
S1,c0,0.3191892371725643,0.0967259493326517,0.12960986011012093,0.5087686142350076,TRUE
S1,c,0.030135756438094605,0.008866693509252009,0.012757356498005606,0.047514156378183604,TRUE
S1,d,0.8967556276466097,0.025239640165903392,0.8472868419386884,0.9462244133545309,FALSE
S2,a0,0.14875497466243612,0.2945350624415946,-0.42852313990734514,0.7260330892322174,FALSE
S2,a_inflacion_lag1,1.3146662339757986,0.07448304508307907,1.1686821481540905,1.4606503197975067,FALSE
S2,a_inflacion_lag2,-0.5275070013354953,0.1240086062243481,-0.7705594033082271,-0.2844545993627635,FALSE
S2,a_inflacion_lag3,0.21338770372689903,0.1259027893425568,-0.03337722893764561,0.46015263639144366,FALSE
S2,a_inflacion_lag4,-0.08195848599801911,0.0812376239570533,-0.24118130314345182,0.0772643311474136,FALSE
S2,a_expectativa_lag1,0.16578119029570412,0.2486347782069613,-0.3215340202940442,0.6530964008854525,FALSE
S2,a_expectativa_lag2,-0.06047203540970439,0.27388219314560264,-0.5972712699819283,0.47632719916251953,FALSE
S2,a_expectativa_lag3,0.31897497552838,0.2706913599123198,-0.211570340825936,0.8495202918826961,FALSE
S2,a_expectativa_lag4,-0.3834197245207424,0.2266544986066048,-0.8276543787236716,0.06081492968218677,FALSE
S2,c0,0.3191892371724225,0.09672594375285333,0.12960987104618296,0.508768603298662,TRUE
S2,c,0.030135756438099983,0.00886669298259269,0.012757357530244283,0.04751415534595568,TRUE
S2,d,0.8967556276466324,0.02523963868028721,0.8472868448504655,0.9462244104427994,FALSE
S3,a0,0.2711555558248456,0.3413278993394622,-0.3978348337992132,0.9401459454489043,FALSE
S3,a_inflacion_lag1,0.9242535358192351,0.0349305024720724,0.8557910090120859,0.9927160626263842,FALSE
S3,a_expectativa_lag1,0.004201984004122747,0.09357244414591105,-0.17919663646724868,0.18760060447549418,FALSE
S3,a_z_tc_lag,-0.02194686785108571,0.045836689769994186,-0.11178512897080983,0.06789139326863841,FALSE
S3,a_z_petroleo_lag,-0.03647392187927437,0.05805524578031941,-0.15026011272232132,0.07731226896377259,FALSE
S3,a_z_infl_ext_lag,0.11795597255155127,0.06320797876182807,-0.0059293893572043566,0.2418413344603069,FALSE
S3,c0,0.3191892371722839,0.096725950695356,0.1296098574389892,0.5087686169055786,TRUE
S3,c,0.030135756438086303,0.008866693629223795,0.012757356262856925,0.04751415661331568,TRUE
S3,d,0.8967556276466785,0.025239640523634334,0.8472868412376175,0.9462244140557394,FALSE
S5,a0,0.24996133550440694,0.3341761878596097,-0.4050119571913191,0.9049346282001329,FALSE
S5,a_inflacion_lag1,0.8912088980074049,0.03595688366670406,0.8207347010243684,0.9616830949904414,FALSE
S5,a_expectativa_lag1,0.11459260732205086,0.0988507121930635,-0.07915122842248794,0.30833644306658964,FALSE
S5,a_inflacion_lag12,-0.07919542661024707,0.026670700569136854,-0.13146903916820724,-0.026921814052286927,FALSE
S5,a_z_tc_lag,0.0033417322741327742,0.04566853830195325,-0.08616695802428358,0.09285042257254912,FALSE
S5,a_z_petroleo_lag,-0.07283753995317115,0.05812890648279829,-0.18676810312015263,0.04109302321381034,FALSE
S5,a_z_infl_ext_lag,0.18360462207968625,0.0656992465142875,0.054836465100264076,0.31237277905910843,FALSE
S5,c0,0.31918923717257025,0.09672595101863382,0.12960985680566264,0.5087686175394779,TRUE
S5,c,0.03013575643809532,0.00886669365708993,0.012757356208249322,0.047514156667941315,TRUE
S5,d,0.8967556276466029,0.025239640591691224,0.8472868411041529,0.9462244141890529,FALSE
S6,a0,-0.0879933118170699,0.30994839213636566,-0.6954809974704442,0.5194943738363044,FALSE
S6,a_inflacion_lag1,1.2761188497558102,0.07531862200827096,1.1284970632544133,1.4237406362572071,FALSE
S6,a_inflacion_lag2,-0.5274185281376712,0.12276671139933513,-0.7680368609807909,-0.2868001952945515,FALSE
S6,a_inflacion_lag3,0.2086827057649407,0.12467358852823174,-0.0356730375737595,0.4530384491036409,FALSE
S6,a_inflacion_lag4,-0.09153016682880974,0.08112713392956009,-0.2505364274997049,0.06747609384208542,FALSE
S6,a_expectativa_lag1,0.24470574749791868,0.24827217602121257,-0.24189877586704667,0.731310270862884,FALSE
S6,a_expectativa_lag2,-0.029409684691454586,0.2716230657625002,-0.5617811109563096,0.5029617415734005,FALSE
S6,a_expectativa_lag3,0.33992637826267863,0.26838574526552533,-0.18610001642169222,0.8659527729470495,FALSE
S6,a_expectativa_lag4,-0.41267261337015726,0.22467134999848118,-0.8530203677251734,0.027675140984858904,FALSE
S6,a_z_tc_lag,0.0024607066973195463,0.043404198191781804,-0.08260995853641132,0.0875313719310504,FALSE
S6,a_z_petroleo_lag,-0.06972927464814176,0.05477496303909299,-0.1770862294592766,0.0376276801629931,FALSE
S6,a_z_infl_ext_lag,0.15181187694279397,0.05907977476851079,0.03601764618177464,0.2676061077038133,FALSE
S6,c0,0.31918923717246717,0.09672595407415892,0.12960985081684043,0.5087686235280939,TRUE
S6,c,0.030135756438092992,0.008866693932112023,0.012757355669213596,0.047514157206972385,TRUE
S6,d,0.8967556276466296,0.02523964138363365,0.847286839552001,0.9462244157412583,FALSE
C0,c0,2.945560749412341,0.28174199586619125,2.3933565845821736,3.4977649142425085,TRUE
C0,c,0.13023054455933303,0.028038107201984044,0.07527686424877121,0.18518422486989483,TRUE
C0,d,0.20424278430906195,0.06505701256779639,0.07673338273441138,0.3317521858837125,FALSE
