fecha,codigo_modelo,descripcion,c0_t,c_t,d_t,lambda_t,pi_estrella_t,inflacion,expectativa,meta_inflacion
2011-02-01,S0,M3 base AR(1),0.3191892371730283,0.03013575643811313,0.8967556276464976,0.7081123575924297,4.365959239912781,5.24,5.81,5
2011-03-01,S0,M3 base AR(1),0.31918923717302833,0.030135756438113136,0.8967556276464976,0.7081123575924297,4.365959239912783,4.99,6.13,5
2011-04-01,S0,M3 base AR(1),0.319189237173046,0.03013575643821896,0.896755627646412,0.7081123575916467,4.365959239914232,5.76114812916453,6.19,5
2011-05-01,S0,M3 base AR(1),0.31918923717160186,0.03013575643815454,0.8967556276467405,0.708112357591342,4.36595923991025,6.3930220625962,5.74,5
2011-06-01,S0,M3 base AR(1),0.31918923717226294,0.03013575643808038,0.8967556276466766,0.708112357592241,4.365959239911045,6.42229936695938,6.16,5
2011-07-01,S0,M3 base AR(1),0.3191892371724231,0.03013575643808548,0.8967556276466624,0.7081123575922318,4.365959239912692,7.03967446592064,5.88,5
2011-08-01,S0,M3 base AR(1),0.31918923717248093,0.030135756438083642,0.8967556276466482,0.7081123575922897,4.365959239912524,7.6258261311642,5.95,5
2011-09-01,S0,M3 base AR(1),0.3191892371724652,0.030135756438083826,0.8967556276466517,0.7081123575922779,4.365959239912533,7.24931562404949,6.43,5
2011-10-01,S0,M3 base AR(1),0.31918923717235703,0.030135756438085175,0.8967556276466624,0.7081123575922348,4.36595923991177,6.65,6.51,5
2011-11-01,S0,M3 base AR(1),0.31918923717210723,0.03013575643808699,0.8967556276467086,0.7081123575920866,4.36595923991122,6.05484387510006,6.06,5
2011-12-01,S0,M3 base AR(1),0.3191892371722588,0.03013575643808853,0.8967556276466837,0.708112357592142,4.3659592399118985,6.2,5.62,5
2012-01-01,S0,M3 base AR(1),0.31918923717224035,0.030135756438088756,0.8967556276466837,0.7081123575921398,4.3659592399116605,5.44,5.95,4.5
2012-02-01,S0,M3 base AR(1),0.3191892371722798,0.030135756438088527,0.8967556276466784,0.7081123575921571,4.365959239911868,5.17,6.11,4.5
2012-03-01,S0,M3 base AR(1),0.3191892371722849,0.030135756438088513,0.8967556276466748,0.7081123575921673,4.365959239911725,4.55,5.47,4.5
2012-04-01,S0,M3 base AR(1),0.31918923717228653,0.030135756438088412,0.896755627646673,0.7081123575921733,4.365959239911636,4.27,5.54,4.5
2012-05-01,S0,M3 base AR(1),0.31918923717228215,0.03013575643808827,0.8967556276466748,0.7081123575921696,4.365959239911673,3.9,5.28,4.5
2012-06-01,S0,M3 base AR(1),0.3191892371722802,0.030135756438088128,0.8967556276466757,0.7081123575921684,4.3659592399116915,3.47,5.11,4.5
2012-07-01,S0,M3 base AR(1),0.3191892371722749,0.03013575643808803,0.8967556276466757,0.7081123575921694,4.365959239911612,2.86,4.9,4.5
2012-08-01,S0,M3 base AR(1),0.3191892371722841,0.03013575643808825,0.8967556276466757,0.7081123575921673,4.365959239911751,2.71,4.55,4.5
2012-09-01,S0,M3 base AR(1),0.3191892371722878,0.030135756438088527,0.8967556276466739,0.7081123575921696,4.365959239911712,3.28,5.17,4.5
2012-10-01,S0,M3 base AR(1),0.3191892371722869,0.030135756438088343,0.8967556276466757,0.7081123575921664,4.3659592399117955,3.35,4.76,4.5
2012-11-01,S0,M3 base AR(1),0.319189237172292,0.030135756438088517,0.8967556276466748,0.7081123575921673,4.365959239911822,3.11,4.82,4.5
2012-12-01,S0,M3 base AR(1),0.31918923717229747,0.030135756438089027,0.896755627646673,0.7081123575921673,4.365959239911821,3.45,4.93,4.5
2013-01-01,S0,M3 base AR(1),0.31918923717229863,0.03013575643808926,0.8967556276466713,0.7081123575921701,4.365959239911745,3.86,4.83,4
2013-02-01,S0,M3 base AR(1),0.3191892371722991,0.030135756438089283,0.8967556276466722,0.7081123575921673,4.365959239911806,4.18,4.61,4
2013-03-01,S0,M3 base AR(1),0.3191892371722974,0.03013575643808928,0.8967556276466726,0.7081123575921662,4.365959239911809,4.34,4.66,4
2013-04-01,S0,M3 base AR(1),0.319189237172295,0.03013575643808893,0.8967556276466722,0.7081123575921707,4.365959239911729,4.13,4.93,4
2013-05-01,S0,M3 base AR(1),0.31918923717229647,0.03013575643808919,0.8967556276466722,0.7081123575921682,4.365959239911764,4.27,4.83,4
2013-06-01,S0,M3 base AR(1),0.3191892371722952,0.030135756438089117,0.8967556276466722,0.708112357592169,4.365959239911743,4.79,5.21,4
2013-07-01,S0,M3 base AR(1),0.31918923717229564,0.030135756438089106,0.8967556276466726,0.7081123575921677,4.365959239911775,4.74,4.81,4
2013-08-01,S0,M3 base AR(1),0.3191892371722942,0.030135756438088943,0.896755627646673,0.7081123575921682,4.3659592399117715,4.42,4.89,4
2013-09-01,S0,M3 base AR(1),0.3191892371722946,0.03013575643808887,0.896755627646673,0.7081123575921688,4.365959239911772,4.21,4.91,4
2013-10-01,S0,M3 base AR(1),0.3191892371722947,0.030135756438088745,0.8967556276466735,0.7081123575921688,4.365959239911794,4.15,4.71,4
2013-11-01,S0,M3 base AR(1),0.31918923717229336,0.030135756438088714,0.8967556276466733,0.7081123575921697,4.36595923991176,4.63,4.7,4
2013-12-01,S0,M3 base AR(1),0.3191892371722938,0.030135756438088725,0.896755627646673,0.7081123575921702,4.365959239911753,4.39,5.19,4
2014-01-01,S0,M3 base AR(1),0.31918923717229036,0.030135756438088593,0.8967556276466739,0.7081123575921691,4.365959239911751,4.14,4.94,4
2014-02-01,S0,M3 base AR(1),0.31918923717229164,0.030135756438088683,0.8967556276466739,0.7081123575921682,4.365959239911775,3.5,4.68,4
2014-03-01,S0,M3 base AR(1),0.3191892371722898,0.030135756438088534,0.8967556276466742,0.708112357592169,4.365959239911754,3.25,4.54,4
