codigo_modelo,descripcion,observaciones,parametros_contados,log_verosimilitud,AIC,AICc,BIC,p_LB_inflacion_1,p_LB_inflacion_12,p_LB_inflacion_24,p_LB_expectativas_12,c_inicial,c_final,lambda_promedio,lambda_inicial,lambda_final,pi_estrella_inicial,pi_estrella_final,correlacion_lambda_con_S0,max_diferencia_lambda_con_S0,correlacion_pi_estrella_con_S0,max_diferencia_pi_estrella_con_S0,delta_AIC,delta_BIC,residuos_inflacion_blancos_12,lambda_robusta_S0,pi_estrella_robusta_S0
S0,M3 base AR(1),185,10,-121.21678844400635,262.4335768880127,263.69794470410466,294.63713513879594,2.381734472978181e-6,1.1102230246251565e-16,0,0.06412003317944293,0.03013575643811313,0.03013575643808907,0.7081123575921657,0.7081123575924297,0.7081123575921684,4.365959239912781,4.365959239911783,0.9999999999999999,0,1,0,3.402467868569488,0,FALSE,TRUE,TRUE
S1,M3 AR(1) + inflación rezagada 12 meses,185,11,-121.62131863412677,265.24263726825353,266.76864882894716,300.6665513441151,1.207643333112074e-7,0,0,0.046136058584710704,0.03013575643801224,0.030135756438095827,0.7081123575922925,0.7081123575946495,0.7081123575922497,4.3659592399303175,4.365959239911671,-0.015280964269503507,3.046785046478817e-12,0.6682184859054133,1.7536194718559273e-11,6.211528248810339,6.029416205319137,FALSE,FALSE,FALSE
S2,M3 con cuatro rezagos de inflación y expectativas,185,16,-113.51555450972158,259.0311090194432,262.26920425753843,310.55680222069634,0.2302137193212661,1.1538853716963615e-7,1.0992852961244637e-8,0.015891047864338037,0.030135756438434934,0.030135756438093957,0.7081123575921761,0.7081123575895775,0.7081123575922259,4.365959239918083,4.365959239911707,0.24356277082588942,2.8522739725644897e-12,0.7858807332140462,5.3015369871900475e-12,0,15.9196670819004,FALSE,FALSE,FALSE
S3,M3 AR(1) + controles externos,185,13,-125.26213839090728,276.5242767818146,278.65293175257483,318.38890250783277,3.869255097321833e-6,1.340927369142264e-12,1.127276050283399e-11,0.09259563918092428,0.03013575643802463,0.030135756438091525,0.7081123575921965,0.7081123575921262,0.7081123575921908,4.365959239909538,4.365959239911733,-0.8673400357527202,1.3373746554634636e-12,-0.6467885605007699,5.948130876731739e-12,17.4931677623714,23.751767369036827,FALSE,FALSE,FALSE
S5,M3 rezago 12 + controles externos,185,14,-123.64173295094979,275.2834659018996,277.75405413719375,320.3684474529961,8.204651735788104e-9,5.551115123125783e-16,0,0.08925306468054972,0.03013575643816033,0.03013575643809132,0.708112357592233,0.7081123575933784,0.7081123575922041,4.365959239926571,4.365959239911775,-0.4422966506184838,2.1886936707460336e-12,0.5465248068844804,1.3789858144264144e-11,16.25235688245641,25.73131231420018,FALSE,FALSE,FALSE
S6,M3 cuatro rezagos + controles externos,185,19,-116.5614797264104,271.1229594528208,275.7290200588814,332.30972012930897,0.19644407726552782,9.973980944488758e-7,1.6204007502462758e-7,0.020462190047888962,0.030135756438237966,0.030135756438092756,0.7081123575922036,0.7081123575923609,0.7081123575921933,4.365959239925242,4.365959239911744,-0.3506514086968116,1.084909939663703e-12,0.665167571359141,1.2460255049973057e-11,12.091850433377601,37.67258499051303,FALSE,FALSE,FALSE
